post	gender
ooh shiny new commenting!	f
so wuts up? today i had the parade. suked. but it wasnt that bad. im done with band for the year. we had a battle today. we kicked ass.  they had nothing.  then jims party.  then my snotty little cousins bday party. i dun like her. sublime. out.	m
i don't know about anyone else anymore, but i'm less and less concerned everyday.  wanna be a bold-faced liar?  go ahead, i got other stuff to do...wanna say one thing and do the other?  whatever, i gotta go...wanna have split personalities, have fun-i hope at least one is a party animal...lol...i got way to much good shit happening to worry about little children and their little problems...so go to daycare and cry there, i don't have time for u anyways.....	f
urlLink    another roof-top sunset  Posted by Paul	m
"gawd i luv my nanny!  she's absolutely the greatest woman on earth and i dont know where i'd be without her today....  im very nervous about moving up to fredericton when the time comes.... i am accepted into both unb and nbcc and i just have to make a decision on where i want to go.  i should finish up my degree but i just dont know if i can do university NE more.... i mean i nvr thought it would be a problem but this year has been a real eye opener.  i've had to learn an awful lot of HARD lessons and it's all but shattered my confidance.    i guess it's just cuz i cant play dumb and float through life in my naive little bubble NE more.  old habits are really hard to break.... especially 23yr old ones.... damn my parents for sheltering me, and never making me work for NE thing.  i realize how spoiled and self-centered that sounds but still DAMN THEM!!!  it sucks having to walk blindly through this life.  im too old to just say ""oops my bad"" or ""daddy fix this"" whenever i mess up.... im gonna end up doing something irreparable sooner or later.    i already have done some horrible things this year that nobuddy will ever be able to fix.  i hurt someone i dont even know in the absolute WORST possible way ever.  she'll nvr know how i hurt her or even really that's she's been hurt, but i know and i live with it every day of my life.  i also lost a best friend and that hurts a lot too.  i dunno i guess the whole point to this thing is im scared of being out on my own.  im like a child that you have to monitor 24/7 cuz who knows what kind of trouble i can get myself into.  i mean i have Bean and i have a few others in fred i can depend on if i need to and my parents are only an hour away but in the same breath i almost dont want that.  cuz it just makes it that more easier to mess up.  i mean if i have someone there to help me fix it it kind of makes it okay for me to screw up if that even makes sense.... i guess what im trying to say is if i didnt have a support system readily @ hand i'd be more conscience of my actions....  it almost makes me want to say to hell with my life here and go to hfx instead.  but then again kat's down there and as much as i love her i dont think i'd enjoy living in the same city as her....  and as far as not wanting to live in the same city as kat goes, i could say the same for fredericton.  i mean i only know a handful of peeps there but i dont particularly enjoy some of them....  one in particular i dont know how i could bring myself to be civil around them cuz i'd like to beat their face off most days.  well not really but seeing them would bring back a lot of bad memories and im not so great @ putting on a fake smile and acting hunky dory.  i wear my heart on my sleave and i know they'd see right through my faux grinning facade.  that would just be uncomfortable for all involved....  and it's doubtful i'd ever even really run into said person cuz we're completely different people so the only common place we might ever meet up would be like the gas station or something like that.  but still, the concern is there and i dont know if i want to set myself up for an awkward sitution like that....  im amazed i havent run into them yet actually.... i mean im in fred enough as it is, i practically live there....  argh i dont know im all backwards.... back to my nanny i was talking to her about all of this tonight and although she only said ""jamieanne, you will be fine"" it was very assuring.  there's something about her that's just so soothing.  less than a month to go before decision time ARGH!!!  what am i gonna do?  enuff stressing about it for now  much love me  ~xoxo~"	f
7._ Km, 39:19.4, Partly cloudy -4C, 6 km wind  A bit tight in the upper legs.  EDIT: Sheesh! Why did I even bother getting the book out!	m
well, it's still summer vacation ':-( and I wish things could be better...  Our puppy is starting to seem like the surdery (an expensive one!) didn't do much, so our puppy (Freya) might not last in our house. This means that she's might be heading back to live in the breeder's house...   The other big problem is  urlLink Elvorix  isn't around therefore I can't borrow his Dragonlance books (these are the best books on the planet FYI)  well, bye	m
Yes! School is out for summer! The sun is shining and life is great! I'm so happy that the weather has finally changed and now it's all sunny! Whistler is in like twelve days...YAY! I'm excited for that, and EMILY COMES HOME in 10 days! I really hope I get to see her before I leave for Whistler, it's been forever!  I got a summer job! At McDonalds. It's actually quite fun there but I suck at till...oh well I'll get used to it!  What am I gonna be doing this summer? Well, not a lot...A LOT of relaxing though! Whistler, Jamee comes to Victoria, Birthday, Working, Tanning....endless possiblilties. Heehee!  Anyways, there isn't a lot to write. I hope I did half decent on my english final, it wasn't too hard.  Luv ya, Lia!	f
urlLink Electric Venom:A Venomous Love Note   aaah, yes.  Mewwidge.	f
"Boring mission. We had another routine presence  patrol in 14E. It was just as uneventful as the last. We got back to the  barracks about 2200 and I decided to take a showerand a nap before our  next mission. Once again, I found myself having difficulty performing a simple  task because I could not take my mind off of Venus. I love you, honey bunny. I  love you so much. I miss you more every day.     It was a quick nap. Our next misson began at 0300,  so preparations started at 0030. We were tasked to provide backup for a group of  British SAS who were conducting a raid in our sector. That is what they told us.  We knew, however, that the SAS was more than capable of handling the situation.  We were there because they were in our sector and the Batallion Commander wanted  some of his guys there to keep an eye on them and to get any glory if there was  any extra lying around. They were going in to get a suspected insurgent and any  paraphenalia they could grab quickly. The plan was simple. We would roll up and  surround the block while the SAS ran up and did one of thier stealthy, lightning  fast, ""knock down the door and make everyone play nice"" routines. Then, two  little birds would land on the roof and pick the SAS and suspect up. It  shouldn't have taken more than two minutes, tops.      It looked really good. I did not see any SAS until  they were in the front yard, not that anyone was awake and would have seen them.  They came back out of the house about 30 seconds later saying that it was the  wrong guy. Bad intel again. The mission was a failure, but at least it was not  our fault. Of course, we would have had no effect on the outcome of the mission,  anyway.      We got back to the barracks before 0400. I was  hungry, but the chow hall was not going to be open again until 0630. I guess I  should have eaten before we left."	m
I passed. Details not yet available. But I passed.   happy birthday Josh today   happy birthday Jordan tomorrow   happy holidays everyone	m
"Cel, this one's for you.  *Ahem*  urlLink Heh .  Idiot.  And yes, this was an ""inside"" post.   Unless you spend as much time as I do on the R6messagenet, you shouldn't have any idea to whom I refer.  Let it suffice to know 1) this kid lives in CO (do I need to say any more?) and 2) he's a bitter, dis-enfranchised, recently laid off, lefty who had a ""fuck work"" sticker on his computer screen.    LOL.  Am I the only one finding it funny he bitches about the economy, and that he no longer has a job?  Or, how about that it's all Dubya's fault that he got fired?    Yeah, comedy goldmine that kid is.  Again, heh."	f
572.8!!!	m
Eight and a half hours, at a laundromat. Gah, ah well, it was better than washing tents. I got caught in this flash rain. it was raining on one side of the street, but not the other. it was crazy. Meh. I'm kinda tired. I'll find something cool to write about later. Until next time.	m
If you know what the first part of the title means, you've obviously played in a few poker tournaments :)  Its a $30 buy-in tournament with 3 dollars going to the house.  NL stands for No-Limit.  The game in question is Texas Holdem...The Cadillac of Poker  I've been kinda a student to the game of No-Limit Texas Holdem for about 4 years now.  When I was at the Casino a few weeks ago on training (Not poker training, work training, I just stayed at the casino hotel :)), I picked up a few magazines that are delivered to all canadian casinos.  Its called Canadian Poker Player ( urlLink Http://www.canadianpokerplayer.com ).  In the May issue, they had an article regarding home games.  I was very shocked to see that there was an article about a home game right here in Fredericton.  So I sent them an email to get an invite to their weekly home games and monthly tournaments.  Tonight will mark my first NL tournament with this group, and I'm very much looking forward to it.  I've been playing with the same group of guys from home for years now, and I pretty much know their betting patterns and strategies.  When you sit down at a table with a completely new crowd, you always learn something new.  I'm very much looking forward to tonight, not only for the game I love, but to meet new people in the city.    Now, off that subject, and maybe a quick response to Fire's post regarding fears....  I never thought I did before, but I really fear death.  I sometimes get this chill in my body whenever I think of what would happen if I died tomorrow, what the (2, maybe 3 ;)) people would do if I was gone.  When I was young, I was kinda a daredevil...I never feared getting hurt, and would do just about anything people dared me to do.  Now that I'm settling down with my life, I fear dying more and more every day.  I wonder why I do.  I guess its the natural life cycle.    I never really noticed this until I started flying.  My trip to Jamaica a few years ago included me almost going nuts in the plane when it was in turbulance.  So, maybe its a combination of fear of death and fear of flying.  Anyway, I swore I wouldn't travel without Melissa on a plane again, she makes me feel more comfortable when I'm with her.  Awwwwwwwww.  Work beckons.	m
"How to handle a ""scandal.""   I have personally witnessed two potential scandals and two different ways of dealing with it. One involved a seminary rector and a number of bishops were involved (they covered it up for as long as they could --several years and then all hell broke loose), the other involved a principal at a Jesuit school (more on this below) where the Jesuit President of the school gathered the entire student body with teachers and we all found out about the allegation at the same time (hell never broke out--the students who were not noteworthy for comportment handled it like men). Cover-up I have found only leads to a bigger scandal, truth extinguishes scandal.   There is a  urlLink news story  today of another incident being handled by the same school I once taught at and if you read the story you'll see the Jesuits are still doing it the same way (at least in the New Orleans province):   The announcement was met by stunned silence."	m
"went sentosa yesterday with leroy, ryan, eugene, hushie, jas, cherie..  weather wasnt fine :(  had only bout 2 hours of sun... the rest of the day was raining...  disappointment not much ppl to see :( but it was quite enjoyable ""burying"" n ""sculpturing"" eugene!!...  lucky enuf, din fall sick despite bathing in the rain for so long   hmmmm but i guess we were much luckier than neil n daniel who went ubin.. it wont be fun to be at ubin on rainy day.. hah  I WANT/NEED TO GET TANNED!!!  photos @ sentosa could be found @ cherie's /  jasmine's / ryan's blog  (too lazy to link them here)  [edit/add] on way back from sentosa... there's a china guy who kept staring at me... making me feel pissed off...  then he spurted out in chinese,  he ""u speak chinese?"" me tiring answer ""ya"" he ""how long have u been here?"" me ??? (thinking ""do i look like a non-local or do i look like i'm from china??"") ""i'm singaporean"" he ""oh... u know how to go the zoo?"" me ""no idea"" (thinking ""dun bother me! i'm dead tired!"") he ""oh... u singaporean but dunno how to go ah?"" me smile ""dun usually go"" he ""me here in singapore for 6 days"" me smile .... keep quiet (thinking ""dun bug me, n shuddup!"") quiet.... reaching my bus-stop he ""me alighting"" me (thinking ""ack... alighting at same bus-stop as me?!? betta let him go 1st, then i'll run! in case he stalk me home"") .................."	m
"Proof That You Don't Have to Be Young and Black...   ...all you need is  urlLink no sense of ethical responsibility .  Here's the cut-and-dry ""we're gonna sink this bastard"" version of Jack Kelley's ouster for plagiarism and fabrication from  urlLink USA Today .  Here's my you-heard-it-here-first moment of the century, discovered by my tireless research (Google)...  Jack Kelley is (was?)  urlLink faculty  at the  urlLink World Journalism Institute .  The reason I'm familiar with WJI is because flyers for it are frequently passed on to me by my pastor.  That's right, WJI is a journalism school focused on Christian ethics.  From their mission statement (linked above):   There is one primary reason why the World Journalism Institute should be committed to the education of young journalists: it comes directly from the need to be faithful to the Christian example of accurately reporting (e.g., being reliable eyewitnesses) the work of God in today's world.    We at WJI believe it is now time to implement a new phase of this statement in order to help turn out journalists capable of presuppositional reporting.   O I love the smell of irony in the morning.     urlLink Full Post and Comments"	m
"It really pisses me off in English the way that Laura and Gough scorn everything that either myself or Ryan puts forward. Okay so compared to Ryan my points are minor or negligable I can understand that, and perhaps I lack the vocal eloquence to put it across but that doesn't stop me from holding an opinion which could be valid. Gemma's gone away to a wedding with some old biddies and she is texting me every hour or so. I don't mind, far from it, but I feel guilty cos I'm not texting back, it's not that I don't want to it's just that I'm low on credit as it is and I won't get any more till the 28th which is gay, but that's life. I'm trying to search for a song that I can listen to that isn't too upbeat, and isn't depressing and that I haven't heard a million times before... I'm probably gonna digress into Three Doors Down but I'm being happy because I know that's important to you, and if it's important to you then I will try my best. Puddles agreed that I was nice against Ryan... well actually she said that ""Yeah, you're nice now"" I don't really want to think what she means by now, I would be offended probably. Summer does weird things to me... or maybe that's the exams, I feel really tired and wound up... I reckon that's just school in general though so I don't know. ""Oh we're half way there, living on a prayer, take my hand, we'll make it I swear"". Mayflies keep ramming into the pavillion windows probably cos of the lights but damn they're huge, see I found out what they're called, they look like killer moth wasps to me but I'll call them Mayflies. Reflecting I'm just being pedantic I seem to obsess into melodrama and so if something goes wrong then my whole world comes crashing down... I'm too emotional, stupid things can get to me, but I try not to let them show to other people, mainly cos they're stupid and I know they shouldn't bother me... and yet it does. I'm really tired and to tell the truth I have no idea what hours I'm working tomorrow I was going to find out today but I never went in which means I'm going to have to go over early tomorrow morning to find out... which as you can imagine sucks pretty badly. Oh well, I've nobody to say sweet dreams to, or n'night, and nobody to tell me that it's alright, it's okay... and nobody to hug me... hmm melodrama. I'm tempted to xhx this but I'll leave it be. Goodnight to the void."	m
Morning (breakfast, snack):     half decaf coffee*  toasted whole wheat bagel with peanut butter    Afternoon (lunch, snack):     LO lasagna (from freezer)  LO Potato Logs (p. 158,  Better Baby Food ) (from freezer)  skim milk  banana oatmeal chocolate chip muffin  oatmeal with brown sugar and cinnamon   Evening (supper, dessert/snack):     three slices Delissio Deluxe pizza  broccoli with dill vegetable dip  skim milk	f
urlLink    Punk	m
"The kids had a great time at the pool yesterday afternoon splashing around and diving for pennies.  While we were there, a reporter came around from the local paper and was snapping pictures of the kids and taking names.  He took special interest in the fact it was my son's birthday and took some extra pictures of him and his brother.  So, I guess I need to check out this weekend's edition of the paper to see if the kids pictures show up.  The children would get a real kick out of it to see their pictures in the newspaper.    My son also got to take treats to his church group last night and they all sang ""Happy Birthday"" to him - he loved the attention!  The leaders at that group are amazing!  The staff members that are men are wonderful role models for both the children.  Until we meet again......"	f
"News - Marine Who Vanished Says He Didn't Desert : ""Marine Who Vanished Says He Didn't Desert ""  This is a rather peculiar story, I wonder about it. It saddens me that because he is an Arab American there is additional ""concern"" about this story, but it is part of the times in which we live in."	m
If you read  urlLink Kelly's Blog , I'm double dipping.  This  urlLink comic strip  was too cute not to post.	f
urlLink    Fun time at Sentosa! 04S08! urlLink	m
well...i just got out of the shower. it's soooo hot outside and even hotter in the gym. me and jess peppered basically the whole time (Don't ask)...but it was REALLY bad..haha. i had a lot of fun, but we sucked..we definitely need to do this more often and start getting in shape...i mean, i was winded after, like, 5 minutes, and i'm already starting to feel the burn...haha---i'm gonna be SOOO sore tomorrow, but it was definitely worth it...i miss v-ball...:*(  nothing interesting today...sorry....bye	f
Ladies and gentlemen, today I made my parents proud by being immortalized in history by 17 words made in passing reference to my role as an eagle in the Desmoines Register today. Here they are:       Impressive no? Hahaha well maybe not, but I was still impressed. In other news, I had a full set of physical examinations today to see if I'm qualified for West Point (the college I'm trying to get into). The high point of that was probably when the doctor was finishing the *cough* *cough* hernia check, he told to me bend over, and I swear to god my life flashed before my eyes. Luckily for me, the doc had been doing the hernia exam without gloves(eeew), so he passed on the rectal examination(I have no idea what he was actually looking for back there). I have to give my guardian angel props for that one. Other exciting events of the day include finally getting my laptop back from repair. Unfortunately though, the genius's down at the repair facility forgot to fedex the power adapter with the laptop, so all I have is one battery charge before its useless again. I called them up and gave them a piece of my mind, so hopefully they get on the stick and next-day air that sucker up to me tomorrow. Until then, I'm out!	m
"Physical education.  Some days it is good.  Some days it is not.  I guess it all depends on whether or not my body feels like learning.  There are other factors though too.  Amount of sunlight, temperature, wind chill, heat index, how the classes before went, what we are playing, and the other people on my team are just a few.  Today started out alright, drifted up, came down, shot skyward, and plummeted back down again.  I guess I just don't understand people.  People don't understand me though so I guess the feeling is mutual.  Speaking of being misunderstood, I am sick of people saying ""You just don't understand"" or ""It doesn't matter what I look like.  It's what on the inside that counts.""  I do understand. You are shallow.  What is on the outside does mater.  Generally, it reflects the inside.  You are probably not the exception.  Whoah!  That was a little off the beaten path. Where was I?  Oh right!  I just don't understand people.  I am wicked competitive.  I HATE losing!  I used to be the worst loser ever.  Then in second grade, I grew up.  Hasn't happened yet in my gym class.  I was a fairly poor winner too until probably ninth grade.  I have mostly grew out of that though.  Anyways, PE can be fun.  People get way too aggressive.  I mean ""play hard""!  Hoo-rah!  Inside of the rules though.  Punching the ground, flipping benches, and throwing students generally are not in the rules.  I am 99%  sure that putting up your middle finger when the teacher turns his back is not in the rules.  Swearing probably goes right along with that but that is more widespread than just PE.  And then there is the making fun of people.  I find it comical when a un-named 400 pound sophmore throws a temper tantrum and hits stuff and swears and lays on the ground holding himself and over-exagerates his injuries.  I am sorry but I really want to inflict actual pain on the pansy when he does that.  Not trying to get pity, I would like to mention that I however ripped through three layers of clothing and my knees, tore open my elbow, received a huge gash to my lower back, and scraped my palms today.  I did not lay on the ground and try to get the gym class to surround me and ask if I was ok.  I got up...then walked over to the side and quietly sat down because my knee hurt.  I feel bad for the seniors.  Sure they say absolutely idiotic stuff but they deal with a lot of unwarranted aggression.  The sophmores, who in general are...the coolest kids I know *cough**nose grows*, give the seniors alot of verbal and physical abuse.  The seniors for the most part don't have much to say back.  I admire the amount of verbal crap they take.  I see them tense up, and then let it roll off.  Not too many people do that today.  I mean after so much, problems escalate but hey what can you do?  BTW me falling I know that must sound funny because it also involves me being ""active"".  Here is the deal yo.  I was bored in gym.  I didn't want to participate because I have no skill and can't outrun your grandmother.  Yes I meant the one with the walker.  So I just kept walking and then Mr.Doan would walk up and tag me and I would smile and walk back and tap the dumpster and then I would walk back and do it again.  And again.  And again.  Well then something unexpected happened.  I walked through and picked up a cone.  Then I took off as fast as I could.  Again, this is not to fast.  Well I am running and running, trying to get back to the dumpster as fast as I could and I am looking backward to see if I am about to be tagged.  Sidenote:  Me running is dangerous.  Me walking and looking backward is dangerous.  Me running and looking back is a volatile mix.  On the my erratic journey across the blacktop, SO CLOSE TO THE DUMPSTER, my feet had a little disagreement about something(I couldn't hear too well cuz my ears are so far away and I didn't want to stop and ask at the time), and then the blacktop and I had some one-on-one time.  I ripped through my second favorite pair of pants.  No not the gym pants.  I was wearing these awesome pajamas under my pants as I always do and now I have holes in my knees and this wonderful spot where the blood dried.  mmm...That was a joy to pull from my leg.  Then I did my homework.  Mr.Gomez I put my heart into that paper.  Actually, just some blood from my wrist.  It was an awkward place for a band-aid so I just decided to bleed on the paper.  Not too much.  Just enough to remember me by.  I got the package in the mail.  It said ""STRAIGHT TALK"" on the front in cool letters on the front and my first thought was ""I don't remember joining any supremacy groups.""  As it turns out, it was just a little dvd on BJU and ""the facts"" about campus life.  funny stuff..."	f
